run_id,N,C,ga_time_seconds,total_time_seconds,ga_time_formatted,total_time_formatted
1,6000,1,421.34,422.65,7.02m (421.34s),7.04m (422.65s)
1,6000,1,315.89,317.13,5.26m (315.89s),5.29m (317.13s)
1,200,1,51.46,52.36,51.46s,52.36s
1,10000,1,1758.52,1759.44,29.31m (1758.52s),29.32m (1759.44s)
1,46000,1,1979.17,1980.45,32.99m (1979.17s),33.01m (1980.45s)
1,6000,1,1170.85,1171.66,19.51m (1170.85s),19.53m (1171.66s)
2,6000,2,1028.50,1029.23,17.14m (1028.50s),17.15m (1029.23s)
3,6000,4,1077.86,1078.60,17.96m (1077.86s),17.98m (1078.60s)
